name	linking_url
Antoine Meillet	https://fr.wikipedia.org/wiki/Antoine_Meillet
Akira Kurosawa	https://fr.wikipedia.org/wiki/Akira_Kurosawa
Antoine de Saint-Exupéry	https://fr.wikipedia.org/wiki/Antoine_de_Saint-Exupéry
Akhenaton	https://fr.wikipedia.org/wiki/Akhenaton_(rappeur)
Arlette Laguiller	https://fr.wikipedia.org/wiki/Arlette_Laguiller
Alain Madelin	https://fr.wikipedia.org/wiki/Alain_Madelin
Alejandro Toledo	https://fr.wikipedia.org/wiki/Alejandro_Toledo
Alfred Hitchcock	https://fr.wikipedia.org/wiki/Alfred_Hitchcock
Albert King	https://fr.wikipedia.org/wiki/Albert_King
André Gide	https://fr.wikipedia.org/wiki/André_Gide
Arthur John Evans	https://fr.wikipedia.org/wiki/Arthur_John_Evans
Alfred Nobel	https://fr.wikipedia.org/wiki/Alfred_Nobel
Aurélien Sauvageot	https://fr.wikipedia.org/wiki/Aurélien_Sauvageot
Arvo Pärt	https://fr.wikipedia.org/wiki/Arvo_Pärt
Alfred de Musset	https://fr.wikipedia.org/wiki/Alfred_de_Musset
Andrew Wiles	https://fr.wikipedia.org/wiki/Andrew_Wiles
Alvar Aalto	https://fr.wikipedia.org/wiki/Alvar_Aalto
Arthur Honegger	https://fr.wikipedia.org/wiki/Arthur_Honegger
Alain-Fournier	https://fr.wikipedia.org/wiki/Alain-Fournier
Antonin Artaud	https://fr.wikipedia.org/wiki/Antonin_Artaud
Ahmôsis II	https://fr.wikipedia.org/wiki/Ahmôsis_II
Aldous Huxley	https://fr.wikipedia.org/wiki/Aldous_Huxley
Antoine Parmentier	https://fr.wikipedia.org/wiki/Antoine_Parmentier
Bruno Mégret	https://fr.wikipedia.org/wiki/Bruno_Mégret
Billy Wilder	https://fr.wikipedia.org/wiki/Billy_Wilder
Bille August	https://fr.wikipedia.org/wiki/Bille_August
Bernard Werber	https://fr.wikipedia.org/wiki/Bernard_Werber
Benoît Mandelbrot	https://fr.wikipedia.org/wiki/Benoît_Mandelbrot
Brian Kernighan	https://fr.wikipedia.org/wiki/Brian_Kernighan
Boris Karloff	https://fr.wikipedia.org/wiki/Boris_Karloff
Bob Black	https://fr.wikipedia.org/wiki/Bob_Black
Bertrand Delanoë	https://fr.wikipedia.org/wiki/Bertrand_Delanoë
Buzz Aldrin	https://fr.wikipedia.org/wiki/Buzz_Aldrin
Carl Sagan	https://fr.wikipedia.org/wiki/Carl_Sagan
Clovis Ier	https://fr.wikipedia.org/wiki/Clovis_Ier
Clotaire Ier	https://fr.wikipedia.org/wiki/Clotaire_Ier
Charles Martel	https://fr.wikipedia.org/wiki/Charles_Martel
Carl David Anderson	https://fr.wikipedia.org/wiki/Carl_David_Anderson
Coxsone	https://fr.wikipedia.org/wiki/Coxsone
Charlemagne	https://fr.wikipedia.org/wiki/Charlemagne
Corinne Lepage	https://fr.wikipedia.org/wiki/Corinne_Lepage
Christiane Taubira	https://fr.wikipedia.org/wiki/Christiane_Taubira
Cecil B. DeMille	https://fr.wikipedia.org/wiki/Cecil_B._DeMille
Charles-Augustin Coulomb	https://fr.wikipedia.org/wiki/Charles-Augustin_Coulomb
Charles Péguy	https://fr.wikipedia.org/wiki/Charles_Péguy
Carole Lombard	https://fr.wikipedia.org/wiki/Carole_Lombard
Chris Blackwell	https://fr.wikipedia.org/wiki/Chris_Blackwell
Childéric Ier	https://fr.wikipedia.org/wiki/Childéric_Ier
Charles Baudelaire	https://fr.wikipedia.org/wiki/Charles_Baudelaire
Dagobert Ier	https://fr.wikipedia.org/wiki/Dagobert_Ier
Dennis Ritchie	https://fr.wikipedia.org/wiki/Dennis_Ritchie
David Lynch	https://fr.wikipedia.org/wiki/David_Lynch
D. H. Lawrence	https://fr.wikipedia.org/wiki/D._H._Lawrence
David McNeil	https://fr.wikipedia.org/wiki/David_McNeil
Douglas MacArthur	https://fr.wikipedia.org/wiki/Douglas_MacArthur
Darius Milhaud	https://fr.wikipedia.org/wiki/Darius_Milhaud
Duke Reid	https://fr.wikipedia.org/wiki/Duke_Reid
Dennis Tito	https://fr.wikipedia.org/wiki/Dennis_Tito
Émile Benveniste	https://fr.wikipedia.org/wiki/Émile_Benveniste
Enki Bilal	https://fr.wikipedia.org/wiki/Enki_Bilal
Edgar Allan Poe	https://fr.wikipedia.org/wiki/Edgar_Allan_Poe
Edgar Rice Burroughs	https://fr.wikipedia.org/wiki/Edgar_Rice_Burroughs
Émile Durkheim	https://fr.wikipedia.org/wiki/Émile_Durkheim
Ferdinand de Saussure	https://fr.wikipedia.org/wiki/Ferdinand_de_Saussure
Fusajiro Yamauchi	https://fr.wikipedia.org/wiki/Fusajiro_Yamauchi
François Bayrou	https://fr.wikipedia.org/wiki/François_Bayrou
François Mitterrand	https://fr.wikipedia.org/wiki/François_Mitterrand
Frank Herbert	https://fr.wikipedia.org/wiki/Frank_Herbert
Frans Eemil Sillanpää	https://fr.wikipedia.org/wiki/Frans_Eemil_Sillanpää
François Bourgeon	https://fr.wikipedia.org/wiki/François_Bourgeon
Francis Poulenc	https://fr.wikipedia.org/wiki/Francis_Poulenc
Guido van Rossum	https://fr.wikipedia.org/wiki/Guido_van_Rossum
Georges Bataille	https://fr.wikipedia.org/wiki/Georges_Bataille
Graham Greene	https://fr.wikipedia.org/wiki/Graham_Greene
Georges Auric	https://fr.wikipedia.org/wiki/Georges_Auric
Guillaume Apollinaire	https://fr.wikipedia.org/wiki/Guillaume_Apollinaire
Gao Xingjian	https://fr.wikipedia.org/wiki/Gao_Xingjian
George Orwell	https://fr.wikipedia.org/wiki/George_Orwell
Gérard Manset	https://fr.wikipedia.org/wiki/Gérard_Manset
Georges Brassens	https://fr.wikipedia.org/wiki/Georges_Brassens
Günter Grass	https://fr.wikipedia.org/wiki/Günter_Grass
Hiroshi Yamauchi	https://fr.wikipedia.org/wiki/Hiroshi_Yamauchi
Howard Carter	https://fr.wikipedia.org/wiki/Howard_Carter
Henry James	https://fr.wikipedia.org/wiki/Henry_James
Hannah Arendt	https://fr.wikipedia.org/wiki/Hannah_Arendt
Henry Ford	https://fr.wikipedia.org/wiki/Henry_Ford
Hermann Hesse	https://fr.wikipedia.org/wiki/Hermann_Hesse
Hugues Capet	https://fr.wikipedia.org/wiki/Hugues_Capet
Henri Barbusse	https://fr.wikipedia.org/wiki/Henri_Barbusse
Hervé Bazin	https://fr.wikipedia.org/wiki/Hervé_Bazin
Isaac Asimov	https://fr.wikipedia.org/wiki/Isaac_Asimov
Imre Kertész	https://fr.wikipedia.org/wiki/Imre_Kertész
John McCarthy	https://fr.wikipedia.org/wiki/John_McCarthy
Jules Verne	https://fr.wikipedia.org/wiki/Jules_Verne
Jean-Pierre Chevènement	https://fr.wikipedia.org/wiki/Jean-Pierre_Chevènement
Jean Saint-Josse	https://fr.wikipedia.org/wiki/Jean_Saint-Josse
John Fowles	https://fr.wikipedia.org/wiki/John_Fowles
Jean-Charles de Borda	https://fr.wikipedia.org/wiki/Jean-Charles_de_Borda
Joseph Conrad	https://fr.wikipedia.org/wiki/Joseph_Conrad
Jack Nicholson	https://fr.wikipedia.org/wiki/Jack_Nicholson
