variants	origine
name	name
A. Meillet	Antoine Meillet
Antoine Meillet	Antoine Meillet
Meillet	Antoine Meillet
A. Kurosawa	Akira Kurosawa
Akira Kurosawa	Akira Kurosawa
Kurosawa	Akira Kurosawa
A. Saint-Exupéry	Antoine de Saint-Exupéry
Antoine Saint-Exupéry	Antoine de Saint-Exupéry
Saint-Exupéry	Antoine de Saint-Exupéry
Akhenaton	Akhenaton
A. Laguiller	Arlette Laguiller
Arlette Laguiller	Arlette Laguiller
Laguiller	Arlette Laguiller
A. Madelin	Alain Madelin
Alain Madelin	Alain Madelin
Madelin	Alain Madelin
A. Toledo	Alejandro Toledo
Alejandro Toledo	Alejandro Toledo
Toledo	Alejandro Toledo
A. Hitchcock	Alfred Hitchcock
Alfred Hitchcock	Alfred Hitchcock
Hitchcock	Alfred Hitchcock
A. King	Albert King
Albert King	Albert King
King	Albert King
A. Gide	André Gide
André Gide	André Gide
Gide	André Gide
A. Evans	Arthur John Evans
Arthur Evans	Arthur John Evans
Evans	Arthur John Evans
A. Nobel	Alfred Nobel
Alfred Nobel	Alfred Nobel
Nobel	Alfred Nobel
A. Sauvageot	Aurélien Sauvageot
Aurélien Sauvageot	Aurélien Sauvageot
Sauvageot	Aurélien Sauvageot
A. Pärt	Arvo Pärt
Arvo Pärt	Arvo Pärt
Pärt	Arvo Pärt
A. Musset	Alfred de Musset
Alfred Musset	Alfred de Musset
Musset	Alfred de Musset
A. Wiles	Andrew Wiles
Andrew Wiles	Andrew Wiles
Wiles	Andrew Wiles
A. Aalto	Alvar Aalto
Alvar Aalto	Alvar Aalto
Aalto	Alvar Aalto
A. Honegger	Arthur Honegger
Arthur Honegger	Arthur Honegger
Honegger	Arthur Honegger
Alain-Fournier	Alain-Fournier
A. Artaud	Antonin Artaud
Antonin Artaud	Antonin Artaud
Artaud	Antonin Artaud
Ahmôsis II	Ahmôsis II
A. Huxley	Aldous Huxley
Aldous Huxley	Aldous Huxley
Huxley	Aldous Huxley
A. Parmentier	Antoine Parmentier
Antoine Parmentier	Antoine Parmentier
Parmentier	Antoine Parmentier
B. Mégret	Bruno Mégret
Bruno Mégret	Bruno Mégret
Mégret	Bruno Mégret
B. Wilder	Billy Wilder
Billy Wilder	Billy Wilder
Wilder	Billy Wilder
B. August	Bille August
Bille August	Bille August
August	Bille August
B. Werber	Bernard Werber
Bernard Werber	Bernard Werber
Werber	Bernard Werber
B. Mandelbrot	Benoît Mandelbrot
Benoît Mandelbrot	Benoît Mandelbrot
Mandelbrot	Benoît Mandelbrot
B. Kernighan	Brian Kernighan
Brian Kernighan	Brian Kernighan
Kernighan	Brian Kernighan
B. Karloff	Boris Karloff
Boris Karloff	Boris Karloff
Karloff	Boris Karloff
B. Black	Bob Black
Bob Black	Bob Black
Black	Bob Black
B. Delanoë	Bertrand Delanoë
Bertrand Delanoë	Bertrand Delanoë
Delanoë	Bertrand Delanoë
B. Aldrin	Buzz Aldrin
Buzz Aldrin	Buzz Aldrin
Aldrin	Buzz Aldrin
C. Sagan	Carl Sagan
Carl Sagan	Carl Sagan
Sagan	Carl Sagan
Clovis Ier	Clovis Ier
Clotaire Ier	Clotaire Ier
C. Martel	Charles Martel
Charles Martel	Charles Martel
Martel	Charles Martel
C. Anderson	Carl David Anderson
Carl Anderson	Carl David Anderson
Anderson	Carl David Anderson
Coxsone	Coxsone
Charlemagne	Charlemagne
C. Lepage	Corinne Lepage
Corinne Lepage	Corinne Lepage
Lepage	Corinne Lepage
C. Taubira	Christiane Taubira
Christiane Taubira	Christiane Taubira
Taubira	Christiane Taubira
Cecil DeMille	Cecil B. DeMille
C. Coulomb	Charles-Augustin Coulomb
Charles-Augustin Coulomb	Charles-Augustin Coulomb
Coulomb	Charles-Augustin Coulomb
C. Péguy	Charles Péguy
Charles Péguy	Charles Péguy
Péguy	Charles Péguy
C. Lombard	Carole Lombard
Carole Lombard	Carole Lombard
Lombard	Carole Lombard
C. Blackwell	Chris Blackwell
Chris Blackwell	Chris Blackwell
Blackwell	Chris Blackwell
Childéric Ier	Childéric Ier
C. Baudelaire	Charles Baudelaire
Charles Baudelaire	Charles Baudelaire
Baudelaire	Charles Baudelaire
Dagobert Ier	Dagobert Ier
D. Ritchie	Dennis Ritchie
Dennis Ritchie	Dennis Ritchie
Ritchie	Dennis Ritchie
D. Lynch	David Lynch
David Lynch	David Lynch
Lynch	David Lynch
D. Lawrence	D. H. Lawrence
D. McNeil	David McNeil
David McNeil	David McNeil
McNeil	David McNeil
D. MacArthur	Douglas MacArthur
Douglas MacArthur	Douglas MacArthur
MacArthur	Douglas MacArthur
D. Milhaud	Darius Milhaud
Darius Milhaud	Darius Milhaud
Milhaud	Darius Milhaud
D. Reid	Duke Reid
Duke Reid	Duke Reid
Reid	Duke Reid
D. Tito	Dennis Tito
Dennis Tito	Dennis Tito
Tito	Dennis Tito
É. Benveniste	Émile Benveniste
Émile Benveniste	Émile Benveniste
Benveniste	Émile Benveniste
E. Bilal	Enki Bilal
Enki Bilal	Enki Bilal
Bilal	Enki Bilal
E. Poe	Edgar Allan Poe
Edgar Poe	Edgar Allan Poe
Poe	Edgar Allan Poe
E. Burroughs	Edgar Rice Burroughs
Edgar Burroughs	Edgar Rice Burroughs
Burroughs	Edgar Rice Burroughs
É. Durkheim	Émile Durkheim
Émile Durkheim	Émile Durkheim
Durkheim	Émile Durkheim
F. Saussure	Ferdinand de Saussure
Ferdinand Saussure	Ferdinand de Saussure
Saussure	Ferdinand de Saussure
F. Yamauchi	Fusajiro Yamauchi
Fusajiro Yamauchi	Fusajiro Yamauchi
Yamauchi	Fusajiro Yamauchi
F. Bayrou	François Bayrou
François Bayrou	François Bayrou
Bayrou	François Bayrou
F. Mitterrand	François Mitterrand
François Mitterrand	François Mitterrand
Mitterrand	François Mitterrand
F. Herbert	Frank Herbert
Frank Herbert	Frank Herbert
Herbert	Frank Herbert
F. Sillanpää	Frans Eemil Sillanpää
Frans Sillanpää	Frans Eemil Sillanpää
Sillanpää	Frans Eemil Sillanpää
F. Bourgeon	François Bourgeon
François Bourgeon	François Bourgeon
Bourgeon	François Bourgeon
F. Poulenc	Francis Poulenc
Francis Poulenc	Francis Poulenc
Poulenc	Francis Poulenc
G. Rossum	Guido van Rossum
Guido Rossum	Guido van Rossum
Rossum	Guido van Rossum
G. Bataille	Georges Bataille
Georges Bataille	Georges Bataille
Bataille	Georges Bataille
G. Greene	Graham Greene
Graham Greene	Graham Greene
Greene	Graham Greene
G. Auric	Georges Auric
Georges Auric	Georges Auric
Auric	Georges Auric
G. Apollinaire	Guillaume Apollinaire
Guillaume Apollinaire	Guillaume Apollinaire
Apollinaire	Guillaume Apollinaire
G. Xingjian	Gao Xingjian
Gao Xingjian	Gao Xingjian
